iter	Passed	Remaining
407	4848	7035
408	4861	7025
409	4872	7012
410	4884	7000
411	4896	6987
412	4907	6975
413	4917	6960
414	4929	6948
415	4940	6935
416	4951	6922
417	4962	6909
418	4973	6896
419	4984	6883
420	4995	6870
421	5006	6856
422	5017	6843
423	5028	6830
424	5039	6818
425	5050	6805
426	5064	6796
427	5078	6786
428	5090	6774
429	5101	6762
430	5112	6748
431	5123	6736
432	5134	6723
433	5145	6710
434	5157	6698
435	5168	6686
436	5179	6672
437	5190	6659
438	5201	6647
439	5212	6634
440	5223	6621
441	5234	6608
442	5246	6596
443	5257	6583
444	5268	6571
445	5282	6561
446	5296	6552
447	5307	6539
448	5319	6527
449	5331	6515
450	5341	6502
451	5352	6489
452	5363	6476
453	5374	6463
454	5386	6451
455	5396	6438
456	5407	6425
457	5418	6412
458	5429	6399
459	5440	6386
460	5451	6373
461	5462	6361
462	5473	6348
463	5484	6335
464	5496	6323
465	5511	6315
466	5523	6303
467	5534	6291
468	5544	6277
469	5555	6265
470	5566	6252
471	5577	6239
472	5588	6226
473	5599	6213
474	5610	6200
475	5620	6187
476	5632	6175
477	5643	6162
478	5653	6149
479	5665	6137
480	5676	6125
481	5687	6112
482	5699	6101
483	5715	6092
484	5725	6080
485	5736	6067
486	5747	6054
487	5758	6041
488	5768	6028
489	5779	6015
490	5790	6003
491	5801	5990
492	5812	5977
493	5823	5965
494	5834	5952
495	5845	5939
496	5856	5927
497	5867	5914
498	5877	5901
499	5888	5888
500	5899	5875
501	5910	5863
502	5928	5857
503	5940	5846
504	5951	5833
505	5962	5821
506	5973	5808
507	5984	5796
508	5995	5783
509	6006	5770
510	6017	5757
511	6027	5745
512	6038	5732
513	6048	5719
514	6060	5707
515	6071	5694
516	6082	5682
517	6093	5670
518	6104	5657
519	6115	5644
520	6125	5632
521	6141	5623
522	6152	5611
523	6163	5599
524	6175	5587
525	6186	5574
526	6197	5562
527	6207	5549
528	6218	5536
529	6229	5524
530	6240	5512
531	6252	5500
532	6263	5487
533	6273	5474
534	6284	5462
535	6294	5449
536	6306	5437
537	6317	5425
538	6328	5412
539	6339	5400
540	6351	5388
541	6364	5378
542	6376	5366
543	6386	5353
544	6397	5341
545	6408	5328
546	6419	5316
547	6430	5304
548	6441	5291
549	6452	5279
550	6463	5266
551	6474	5254
552	6485	5242
553	6496	5229
554	6507	5217
555	6518	5205
556	6529	5193
557	6540	5180
558	6551	5168
559	6566	5159
560	6577	5147
561	6589	5135
562	6600	5123
563	6612	5111
564	6622	5098
565	6634	5086
566	6645	5075
567	6656	5062
568	6667	5050
569	6678	5038
570	6689	5026
571	6702	5015
572	6713	5002
573	6724	4990
574	6736	4978
575	6747	4966
576	6758	4954
577	6769	4942
578	6784	4932
579	6796	4921
580	6808	4909
581	6819	4897
582	6831	4886
583	6842	4873
584	6853	4862
585	6864	4849
586	6875	4837
587	6886	4825
588	6898	4813
589	6911	4802
590	6922	4790
591	6933	4778
592	6944	4766
593	6954	4753
594	6965	4741
595	6976	4729
596	6989	4718
597	7002	4707
598	7014	4695
599	7025	4683
600	7037	4672
601	7049	4660
602	7061	4648
603	7072	4637
604	7084	4625
605	7095	4613
606	7107	4601
607	7118	4589
608	7129	4577
609	7140	4565
610	7151	4553
611	7164	4542
612	7183	4535
613	7205	4530
614	7219	4519
615	7231	4507
616	7241	4495
617	7253	4483
618	7264	4471
619	7275	4459
620	7286	4447
621	7298	4435
622	7309	4422
623	7321	4411
624	7332	4399
625	7343	4387
626	7357	4376
627	7368	4365
628	7379	4352
629	7390	4340
630	7401	4328
631	7415	4317
632	7428	4307
633	7440	4295
634	7451	4283
635	7462	4271
636	7473	4258
637	7484	4246
638	7495	4234
639	7506	4222
640	7518	4210
641	7529	4198
642	7540	4186
643	7551	4174
644	7562	4162
645	7573	4150
646	7584	4138
647	7595	4125
648	7606	4113
649	7617	4101
650	7630	4090
651	7644	4080
652	7655	4068
653	7667	4056
654	7680	4045
655	7691	4033
656	7702	4021
657	7713	4009
658	7724	3997
659	7734	3984
660	7746	3972
661	7756	3960
662	7767	3948
663	7778	3936
664	7789	3924
665	7800	3912
666	7812	3900
667	7823	3888
668	7834	3876
669	7846	3864
670	7859	3853
671	7871	3841
672	7881	3829
673	7893	3817
674	7905	3806
675	7916	3794
676	7928	3782
677	7939	3770
678	7951	3759
679	7963	3747
680	7975	3735
681	7985	3723
682	7997	3711
683	8008	3699
684	8019	3687
685	8030	3675
686	8041	3663
687	8053	3651
688	8065	3640
689	8077	3629
690	8088	3617
691	8099	3605
692	8111	3593
693	8122	3581
694	8134	3569
695	8145	3557
696	8156	3545
697	8167	3533
698	8178	3521
699	8190	3510
700	8201	3498
701	8213	3486
702	8224	3474
703	8236	3462
704	8247	3451
705	8259	3439
706	8270	3427
707	8284	3416
708	8296	3405
709	8307	3393
710	8319	3381
711	8331	3369
712	8341	3357
713	8353	3345
714	8364	3334
715	8375	3322
716	8387	3310
717	8398	3298
718	8409	3286
719	8421	3274
720	8432	3263
721	8443	3250
722	8454	3238
723	8465	3227
724	8475	3214
725	8487	3203
726	8500	3191
727	8513	3180
728	8524	3168
729	8535	3156
730	8546	3145
731	8557	3133
732	8568	3121
733	8579	3109
734	8590	3097
735	8601	3085
736	8611	3073
737	8622	3060
738	8633	3049
739	8644	3037
740	8654	3024
741	8666	3013
742	8677	3001
743	8689	2989
744	8700	2977
745	8711	2966
746	8726	2955
747	8738	2943
748	8749	2932
749	8761	2920
750	8772	2908
751	8783	2896
752	8794	2884
753	8805	2872
754	8816	2860
755	8826	2848
756	8838	2837
757	8849	2825
758	8859	2813
759	8869	2801
760	8880	2789
761	8891	2777
762	8902	2765
763	8914	2753
764	8925	2741
765	8939	2730
766	8952	2719
767	8963	2707
768	8974	2695
769	8985	2683
770	8996	2672
771	9007	2660
772	9020	2648
773	9030	2636
774	9041	2625
775	9053	2613
776	9064	2601
777	9075	2589
778	9086	2577
779	9097	2565
780	9108	2554
781	9119	2542
782	9130	2530
783	9142	2518
784	9156	2507
785	9169	2496
786	9180	2484
787	9191	2472
788	9202	2460
789	9213	2449
790	9224	2437
791	9234	2425
792	9245	2413
793	9256	2401
794	9267	2389
795	9278	2377
796	9288	2365
797	9300	2354
798	9311	2342
799	9323	2330
800	9333	2318
801	9344	2306
802	9355	2295
803	9365	2283
